nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Ac228,911.204,25.8,0.4,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,968.972->57.763,gamma
Ac228,918.97,0.027,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,2010.20->1091.020,gamma
Ac228,921.98,0.0147,0.0021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,979.507->57.763,gamma
Ac228,921.98,0.0147,0.0021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1944.83->1022.531,gamma
Ac228,924.03,0.0075,0.001,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1893.02->968.972,gamma
Ac228,930.93,0.0124,0.0018,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1899.97->968.972,gamma
Ac228,930.93,0.0124,0.0018,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1450.35->519.195,gamma
Ac228,939.87,0.009,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,2030.39->1091.020,gamma
Ac228,944.196,0.095,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,944.200->0.0,gamma
Ac228,947.982,0.106,0.008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1344.082->396.083,gamma
